"pers_id","nombre","pergoomet_citations","pergoomet_yearfirst","pergoomet_yearlast","pergoomet_years","pergoomet_citespaper","pergoomet_citesyear","pergoomet_hindex","pergoomet_papers","pergoomet_eindex","pergoomet_awcr","pergoomet_awindex","pergoomet_gindex","pergoomet_hcindex","uniorg_id","uniorg_nombre","tipuniorg_id"
3851,"Clara Viviana Franco Florez",14,2020,2023,4,2.8,3.5,2,5,2.45,6.17,2.48,3,4,4279,"Red de Innovación de Frutales",13
3851,"Clara Viviana Franco Florez",14,2020,2023,4,2.8,3.5,2,5,2.45,6.17,2.48,3,4,4293,"Centro de Investigación Tibaitatá",9
3853,"Andrea Milena Sierra Alarcon",286,2012,2024,12,9.53,23.83,7,30,14.76,55.03,7.42,16,6,4281,"Red de Innovación de Ganadería y Especies Menores",13
3853,"Andrea Milena Sierra Alarcon",286,2012,2024,12,9.53,23.83,7,30,14.76,55.03,7.42,16,6,4230,"Microbiología y Nutrición Animal del Trópico",12
3853,"Andrea Milena Sierra Alarcon",286,2012,2024,12,9.53,23.83,7,30,14.76,55.03,7.42,16,6,4293,"Centro de Investigación Tibaitatá",9
3856,"Paola Vanessa Sierra Baquero",17,2016,2023,8,0.89,2.13,2,19,2.65,3.54,1.88,3,2,4236,"Sistemas agrícolas del trópico (SAT)",12
3856,"Paola Vanessa Sierra Baquero",17,2016,2023,8,0.89,2.13,2,19,2.65,3.54,1.88,3,2,4289,"Centro de Investigación Motilonia",9
3856,"Paola Vanessa Sierra Baquero",17,2016,2023,8,0.89,2.13,2,19,2.65,3.54,1.88,3,2,4279,"Red de Innovación de Frutales",13
3858,"Alexandra Estefania Fajardo Rojas",113,2018,2023,6,12.56,18.83,3,9,10.15,19.07,4.37,9,3,4297,"Sede Cúcuta",9
3858,"Alexandra Estefania Fajardo Rojas",113,2018,2023,6,12.56,18.83,3,9,10.15,19.07,4.37,9,3,4279,"Red de Innovación de Frutales",13
3861,"Eliana Yadira Baez Daza",76,2017,2023,7,4.75,10.86,4,16,7.55,13.99,3.74,8,4,4229,"Mejoramiento genético vegetal, uso y aprovechamiento de la agrobiodiversidad MGVA",12
3861,"Eliana Yadira Baez Daza",76,2017,2023,7,4.75,10.86,4,16,7.55,13.99,3.74,8,4,4280,"Red de Innovación de Cacao",13
3861,"Eliana Yadira Baez Daza",76,2017,2023,7,4.75,10.86,4,16,7.55,13.99,3.74,8,4,4288,"Centro de Investigación La Suiza",9
3862,"Jose Isidro Beltran Medina",98,2012,2023,12,7.0,8.17,5,14,7.62,26.08,5.11,9,6,4290,"Centro de Investigación Nataima",9
3862,"Jose Isidro Beltran Medina",98,2012,2023,12,7.0,8.17,5,14,7.62,26.08,5.11,9,6,4276,"Red de Innovación de Cultivos Transitorios y Agroindustriales",13
3862,"Jose Isidro Beltran Medina",98,2012,2023,12,7.0,8.17,5,14,7.62,26.08,5.11,9,6,4237,"Sistemas Agropecuarios sostenibles",12
3864,"Luisa Fernanda Izquierdo Garcia",138,2019,2024,5,10.62,27.6,4,13,10.63,34.27,5.85,11,5,4293,"Centro de Investigación Tibaitatá",9
3864,"Luisa Fernanda Izquierdo Garcia",138,2019,2024,5,10.62,27.6,4,13,10.63,34.27,5.85,11,5,4220,"Control biológico de plagas agrícolas",12
3864,"Luisa Fernanda Izquierdo Garcia",138,2019,2024,5,10.62,27.6,4,13,10.63,34.27,5.85,11,5,4278,"Red de Innovación de Hortalizas y Plantas Aromáticas",13
3866,"Alejandro Jaramillo Laverde",42,2012,2023,12,1.56,3.5,4,27,4.58,6.04,2.46,6,2,4292,"Centro de Investigación Palmira",9
3866,"Alejandro Jaramillo Laverde",42,2012,2023,12,1.56,3.5,4,27,4.58,6.04,2.46,6,2,4227,"Investigación en frutas del trópico",12
3866,"Alejandro Jaramillo Laverde",42,2012,2023,12,1.56,3.5,4,27,4.58,6.04,2.46,6,2,4279,"Red de Innovación de Frutales",13
3868,"Camilo Ignacio Jaramillo Barrios",165,1981,2023,43,4.13,3.84,8,40,7.0,39.83,6.31,11,8,4221,"Ecologia y agricultura inteligente para la sostenibilidad y competitividad de los sistemas de producción en el trópico",12
3868,"Camilo Ignacio Jaramillo Barrios",165,1981,2023,43,4.13,3.84,8,40,7.0,39.83,6.31,11,8,4290,"Centro de Investigación Nataima",9
3868,"Camilo Ignacio Jaramillo Barrios",165,1981,2023,43,4.13,3.84,8,40,7.0,39.83,6.31,11,8,4276,"Red de Innovación de Cultivos Transitorios y Agroindustriales",13
3868,"Camilo Ignacio Jaramillo Barrios",165,1981,2023,43,4.13,3.84,8,40,7.0,39.83,6.31,11,8,4232,"Raíces del Futuro - Manejo de suelo, agua y planta",12
3869,"Francisco Fabian Carrascal Perez",21,2013,2023,11,1.75,1.91,2,12,3.46,5.23,2.29,4,3,4282,"Centro de Investigación Caribia",9
